"filename", "language", "JavaScript JSX", "CSS", "XML", "JavaScript", "comment", "blank", "total"
"c:\Users\alyubomirov\Downloads\11-react-1--9\11-react-1--9\src\App.css", "CSS", 0, 4, 0, 0, 0, 0, 4
"c:\Users\alyubomirov\Downloads\11-react-1--9\11-react-1--9\src\App.jsx", "JavaScript JSX", 59, 0, 0, 0, 0, 7, 66
"c:\Users\alyubomirov\Downloads\11-react-1--9\11-react-1--9\src\assets\react.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\alyubomirov\Downloads\11-react-1--9\11-react-1--9\src\components\Button\Button.css", "CSS", 0, 15, 0, 0, 0, 2, 17
"c:\Users\alyubomirov\Downloads\11-react-1--9\11-react-1--9\src\components\Button\Button.jsx", "JavaScript JSX", 7, 0, 0, 0, 0, 2, 9
"c:\Users\alyubomirov\Downloads\11-react-1--9\11-react-1--9\src\components\CardButton\CardButton.css", "CSS", 0, 14, 0, 0, 0, 1, 15
"c:\Users\alyubomirov\Downloads\11-react-1--9\11-react-1--9\src\components\CardButton\CardButton.jsx", "JavaScript JSX", 10, 0, 0, 0, 0, 3, 13
"c:\Users\alyubomirov\Downloads\11-react-1--9\11-react-1--9\src\components\Header\Header.jsx", "JavaScript JSX", 12, 0, 0, 0, 0, 6, 18
"c:\Users\alyubomirov\Downloads\11-react-1--9\11-react-1--9\src\components\Header\Header.module.css", "CSS", 0, 3, 0, 0, 0, 0, 3
"c:\Users\alyubomirov\Downloads\11-react-1--9\11-react-1--9\src\components\Input\Input.jsx", "JavaScript JSX", 13, 0, 0, 0, 0, 2, 15
"c:\Users\alyubomirov\Downloads\11-react-1--9\11-react-1--9\src\components\Input\Input.module.css", "CSS", 0, 26, 0, 0, 0, 2, 28
"c:\Users\alyubomirov\Downloads\11-react-1--9\11-react-1--9\src\components\JournalAddButton\JournalAddButton.css", "CSS", 0, 11, 0, 0, 0, 0, 11
"c:\Users\alyubomirov\Downloads\11-react-1--9\11-react-1--9\src\components\JournalAddButton\JournalAddButton.jsx", "JavaScript JSX", 14, 0, 0, 0, 0, 2, 16
"c:\Users\alyubomirov\Downloads\11-react-1--9\11-react-1--9\src\components\JournalForm\JournalForm.jsx", "JavaScript JSX", 98, 0, 0, 0, 0, 8, 106
"c:\Users\alyubomirov\Downloads\11-react-1--9\11-react-1--9\src\components\JournalForm\JournalForm.module.css", "CSS", 0, 46, 0, 0, 0, 7, 53
"c:\Users\alyubomirov\Downloads\11-react-1--9\11-react-1--9\src\components\JournalForm\JournalForm.state.js", "JavaScript", 0, 0, 0, 38, 0, 1, 39
"c:\Users\alyubomirov\Downloads\11-react-1--9\11-react-1--9\src\components\JournalItem\JournalItem.css", "CSS", 0, 31, 0, 0, 0, 4, 35
"c:\Users\alyubomirov\Downloads\11-react-1--9\11-react-1--9\src\components\JournalItem\JournalItem.jsx", "JavaScript JSX", 14, 0, 0, 0, 0, 3, 17
"c:\Users\alyubomirov\Downloads\11-react-1--9\11-react-1--9\src\components\JournalList\JournalList.css", "CSS", 0, 5, 0, 0, 0, 0, 5
"c:\Users\alyubomirov\Downloads\11-react-1--9\11-react-1--9\src\components\JournalList\JournalList.jsx", "JavaScript JSX", 34, 0, 0, 0, 0, 5, 39
"c:\Users\alyubomirov\Downloads\11-react-1--9\11-react-1--9\src\components\Logo\Logo.jsx", "JavaScript JSX", 6, 0, 0, 0, 0, 2, 8
"c:\Users\alyubomirov\Downloads\11-react-1--9\11-react-1--9\src\components\Logo\Logo.module.css", "CSS", 0, 3, 0, 0, 0, 0, 3
"c:\Users\alyubomirov\Downloads\11-react-1--9\11-react-1--9\src\components\SelectUser\SelectUser.jsx", "JavaScript JSX", 16, 0, 0, 0, 0, 4, 20
"c:\Users\alyubomirov\Downloads\11-react-1--9\11-react-1--9\src\components\SelectUser\SelectUser.module.css", "CSS", 0, 6, 0, 0, 0, 0, 6
"c:\Users\alyubomirov\Downloads\11-react-1--9\11-react-1--9\src\hooks\use-localstorage.hook.js", "JavaScript", 0, 0, 0, 15, 0, 4, 19
"c:\Users\alyubomirov\Downloads\11-react-1--9\11-react-1--9\src\index.css", "CSS", 0, 15, 0, 0, 0, 4, 19
"c:\Users\alyubomirov\Downloads\11-react-1--9\11-react-1--9\src\layouts\Body\Body.css", "CSS", 0, 4, 0, 0, 0, 0, 4
"c:\Users\alyubomirov\Downloads\11-react-1--9\11-react-1--9\src\layouts\Body\Body.jsx", "JavaScript JSX", 9, 0, 0, 0, 0, 2, 11
"c:\Users\alyubomirov\Downloads\11-react-1--9\11-react-1--9\src\layouts\LeftPanel\LeftPanel.css", "CSS", 0, 6, 0, 0, 0, 0, 6
"c:\Users\alyubomirov\Downloads\11-react-1--9\11-react-1--9\src\layouts\LeftPanel\LeftPanel.jsx", "JavaScript JSX", 9, 0, 0, 0, 0, 2, 11
"c:\Users\alyubomirov\Downloads\11-react-1--9\11-react-1--9\src\main.jsx", "JavaScript JSX", 9, 0, 0, 0, 0, 2, 11
"Total", "-", 310, 189, 1, 53, 0, 75, 628
